ID.1,ID,Lowtag,Name,Recap,PIT_tag,Species,Year,Capture_date,Collar_start,Fate_date,Field_crew,Study_area,Latitude,Longitude,Trap.type,Sex,Age,Collar.ID,Frequency,Collar_model,DOP_type,Left_eartag,Left_color,Right_eartag,Right_color,Parasites,Body_condition,Hind_foot,Chest_girth,Body_length,biopsy,blood,Cannon_foot,Weight,Head_circ,Neck_circ,Tail_length,Ear_length_R,Ear_length_L,Left_upper_canine,Left_lower_canine,Right_upper_canine,Right_lower_canine,Samples,Nursed,Pelage,Handling_time,VIT,VIT_frequency,Mortality,Mortality_cause,Mortality_date,Censor,Censor_cause,Censor_date,Comments,data_comments
D3161,3161,3161,NA,New,NA,WTD,2024,12/12/2023 10:12,12/12/2023 10:12,NA,"JS, CV, AM",Touch of Nature,37.6335,-89.174,Clover,Female,Adult,150970,151.285,420,HDOP,3161,Grey,3162,Grey,1 tick,5,44,102,145,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
D3225,3225,3225,NA,New,NA,WTD,2024,12/15/2023 9:47,12/15/2023 9:47,2/19/2024,"J.S, T.K",Touch of Nature,37.62729,-89.1618,Clover,Female,YoungofYear,150959,151.175,420,HDOP,3225,Grey,3226,Grey,NA,5,37,69,123,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50 degrees, Sunny",removed collar
D3143,3143,3143,NA,New,NA,WTD,2024,12/15/2023 11:21,12/15/2023 11:21,NA,"J.S, T.K",Touch of Nature,37.62162,-89.1607,Clover,Female,Yearling,152283,151.23,420+,PDOP,3143,Grey,3144,Grey,NA,4,42,83,146,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20417,151.87,NA,NA,NA,NA,NA,NA,"Left eye glassy, unknown if a trap injury or previous injury. Scrapes on snout inflicted by capture. 55 degrees, sunny.",
D3135,3135,3136,NA,New,NA,WTD,2024,12/20/2023 10:00,12/20/2023 10:00,3/12/2024,"TK, JS, CV",Touch of Nature,37.63565,-89.1707,Clover,Male,YoungofYear,150944,151.025,330,HDOP,3136,Grey,3135,Grey,NA,2,32,63,99,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Everything went smoothly. collar kicked 1/17/24. Redeployed on 1/24/24,
D1128,1128,1,NA,Recap,NA,WTD,2024,1/9/2024 16:30,1/9/2024 16:30,NA,"AM, CV, TK, HR",Touch of Nature,37.63076,-89.1557,Drop,Female,Adult,155226,150.42,420+,PDOP,1,yellow,124,pink,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20685,150.95,NA,NA,NA,NA,NA,NA,old collar was 150958;151.165;420.,
D3145,3145,3145,NA,New,NA,WTD,2024,1/9/2024 16:30,1/9/2024 16:30,NA,"AM, CV, TK, HR",Touch of Nature,37.63076,-89.1557,Drop,Female,Adult,155229,150.45,420+,PDOP,3145,Grey,3146,Grey,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIT 20678 not implanted,
D3117,3117,3177,NA,New,NA,WTD,2024,1/9/2024 16:30,1/9/2024 16:30,NA,"AM, CV, TK, HR",Touch of Nature,37.63076,-89.1557,Drop,Female,Yearling,155225,150.41,420+,PDOP,3177,Grey,3118,Grey,NA,3,40,91.4,132.1,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20686,150.96,NA,NA,NA,NA,NA,NA,,
D3217,3217,3217,NA,New`,NA,WTD,2024,1/16/2024 10:33,1/16/2024 10:33,NA,"JS, EJ, AS, EW",Shelbyville,39.57036,-88.7114,Clover,Male,YoungofYear,152268,150.04,500+,PDOP,3217,Grey,3218,Grey,NA,4,41,77,122,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bled after jugular draw, applied pressure, bleeding stopped.",
D3051,3051,3051,NA,New,NA,WTD,2024,1/16/2024 16:55,1/16/2024 16:55,4/2/2024,"JS, EJ, AS, EW",Shelbyville,39.57036,-88.7114,Clover,Male,YoungofYear,152265,150.01,500+,PDOP,3051,Grey,3052,Grey,NA,3,38,74,109,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
D3235,3235,3235,NA,New,NA,WTD,2024,1/17/2024 10:20,1/17/2024 10:20,NA,"JS, EW, EJ, AS",Shelbyville,39.57245,-88.7088,Clover,Male,Yearling,152274,150.1,500+,PDOP,3235,Grey,3236,Grey,NA,4,40.8,76,126,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
